film_id,titre,genre_principale,date_sortie_france,date_sortie_usa,image_url,synopsis,duree,note_moyenne,acteurs,entrees_demarrage_france,entrees_totales_france,budget,recette_usa,recette_reste_du_monde,recette_monde
21747,Mother/Android,Science Fiction,07/01/2022,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/21747-20220109025210.jpg,"Dans un monde post-apocalyptique en proie à une violente révolte des androïdes, une jeune femme enceinte et son petit ami cherchent désespérément à se mettre à l'abri.",1h 50min,Non disponible,Chloë Grace Moretz (Rôle principal - - Georgia),,,Non disponible,,,
21395,Moonfall,Science Fiction,09/02/2022,04/02/2022,https://www.jpbox-office.com/cinema/images/posters/21395-20220115101452-0.jpg,"Une force mystérieuse fait sortir la Lune de son orbite autour de la Terre et l'envoie à toute vitesse se crasher sur la planète bleue. À quelques semaines de l'impact et alors que le monde est au bord de l'anéantissement, Jo Fowler, cadre de la NASA et ancienne astronaute, est convaincue qu'elle détient la clé pour nous sauver tous - mais seuls un astronaute de son passé, Brian Harper et un théoricien du complot, K.C. Houseman la croient. Ces héros improbables vont monter une mission impossible de dernière minute dans l'espace, laissant derrière eux tous ceux qu'ils aiment...",2h 00min,4,Halle Berry (Rôle principal - - Jocinda Fowler) | Donald Sutherland,207 212,342 251,136 000 000 $,19 060 660 $,41 731 000 $,60 791 660 $
21819,BigBug,Science Fiction,11/02/2022,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/21819-20220205062456.jpg,"En 2045, l’intelligence artificielle est partout. À tel point que l’humanité compte sur elle pour assouvir ses moindres besoins et ses moindres désirs - même les plus inavouables… Dans un quartier résidentiel tranquille, quatre robots domestiques décident soudain de retenir leurs maîtres en otages dans leur propre maison. Enfermés ensemble, une famille pas tout à fait recomposée, une voisine envahissante et son robot sexuel entreprenant sont donc obligés de se supporter dans une ambiance de plus en plus hystérique ! Car, à l’extérieur, les Yonyx, dernière génération d’androïdes, tentent de prendre le pouvoir. Tandis que la menace se rapproche, les humains se trompent, se jalousent, et se déchirent sous les yeux ahuris de leurs robots d’intérieur. Et si, au fond, c’étaient les robots qui avaient une âme… ou pas!",1h 51min,Non disponible,Elsa Zylberstein (Rôle principal),,,Non disponible,,,
21944,Adam à travers le temps,Science Fiction,11/03/2022,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/21944-20220227020043.jpg,"Un pilote entreprend un voyage dans le temps aux côtés de l’enfant qu’il était et de son père disparu afin de soigner les plaies du passé, tout en sauvant l’avenir.",1h 46min,Non disponible,Ryan Reynolds (Rôle principal - - Adam) | Jennifer Garner (Second rôle - - Ellie Reed) | Mark Ruffalo (Second rôle - - Louis Reed),,,Non disponible,,,
22058,Les Crimes du Futur,Science Fiction,25/05/2022,03/06/2022,https://www.jpbox-office.com/cinema/images/posters/22058-20220514061928-0.jpg,"Alors que l’espèce humaine s’adapte à un environnement de synthèse, le corps humain est l’objet de transformations et de mutations nouvelles. Avec la complicité de sa partenaire Caprice, Saul Tenser, célèbre artiste performer, met en scène la métamorphose de ses organes dans des spectacles d’avant-garde. Timlin, une enquêtrice du Bureau du Registre National des Organes, suit de près leurs pratiques. C’est alors qu’un groupe mystérieux se manifeste : ils veulent profiter de la notoriété de Saul pour révéler au monde la prochaine étape de l’évolution humaine…",1h 47min,3,Viggo Mortensen (Rôle principal - - Saul Tenser) | Léa Seydoux (Rôle principal - - Caprice) | Kristen Stewart (Rôle principal - - Timlin) | Howard Shore,52 886,108 591,? $,2 452 882 $,790 557 $,3 243 439 $
22102,Spiderhead,Science Fiction,17/06/2022,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/22102-20220611113539.jpg,"Dans un futur proche, deux jeunes détenus doivent affronter leur passé dans un établissement dirigé par un homme brillant à l'esprit visionnaire. Celui-ci mène des expériences sur les prisonniers avec des médicaments agissant sur les émotions",1h 46min,Non disponible,Chris Hemsworth (Rôle principal - - Steve Abnesti),,,Non disponible,,,
21249,After Yang,Science Fiction,06/07/2022,04/03/2022,https://www.jpbox-office.com/cinema/images/posters/21249-20220702034317-0.jpg,"Dans un futur proche, chaque foyer possède un androïde domestique, appelé « techno-sapiens ». Dans la famille de Jake, il s’appelle Yang, et veille plus particulièrement sur la jeune Mika, assurant pour cette petite fille adoptée d’origine chinoise, un rôle de tuteur, d’ami, de confident. Aussi, le jour où Yang tombe en panne, Jake met toute sa vie en pause pour tenter de le réparer. Mais le parcours va se révéler beaucoup plus compliqué que prévu, et va mettre Jake aux prises avec des questionnements existentiels et intimes vertigineux.",1h 36min,3,Colin Farrell (Rôle principal - - Jake),14 818,33 608,? $,46 872 $,483 922 $,530 794 $
22172,Vesper Chronicles,Science Fiction,17/08/2022,30/09/2022,https://www.jpbox-office.com/cinema/images/posters/22172-20220812101223-0.jpg,"Dans le futur, les écosystèmes se sont effondrés. Parmi les survivants, quelques privilégiés se sont retranchés dans des citadelles coupées du monde, tandis que les autres tentent de subsister dans une nature devenue hostile à l’homme. Vivant dans les bois avec son père, la jeune Vesper rêve de s’offrir un autre avenir, grâce à ses talents de bio-hackeuse, hautement précieux dans ce monde où plus rien ne pousse. Le jour où un vaisseau en provenance des citadelles s’écrase avec à son bord une mystérieuse passagère, elle se dit que le destin frappe enfin à sa porte…",1h 52min,3,Non disponible,76 366,137 552,5 000 000 ,49 493 $,889 529 $,939 022 $
21303,Trois Mille ans à t’attendre,Science Fiction,24/08/2022,26/08/2022,https://www.jpbox-office.com/cinema/images/posters/21303-20220524111144-0.jpg,"Alithea Binnie, bien que satisfaite par sa vie, porte un regard sceptique sur le monde. Un jour, elle rencontre un génie qui lui propose d’exaucer trois vœux en échange de sa liberté. Mais Alithea est bien trop érudite pour ignorer que, dans les contes, les histoires de vœux se terminent mal. Il plaide alors sa cause en lui racontant son passé extraordinaire. Séduite par ses récits, elle finit par formuler un vœu des plus surprenants.",1h 48min,2,Idris Elba (Rôle principal - - Le Djinn),95 617,193 846,60 000 000 $,8 286 741 $,1 724 502 $,10 011 243 $
21020,Le Samaritain,Science Fiction,26/08/2022,26/08/2022,https://www.jpbox-office.com/cinema/images/posters/21020-20220716061036.jpg,"Agé de 13 ans, Sam Cleary suspecte que son mystérieux et solitaire voisin, Mr. Smith, soit en réalité une légende qui se cache au grand jour. Il y a 25 ans, le superpuissant justicier de Granite City, Le Samaritain, a été déclaré mort dans un entrepôt, après un combat tragique avec son rival, Nemesis. La plupart des gens pense que Le Samaritain a péri dans les flammes, mais certains habitants, comme Sam, ont bon espoir qu’il soit encore en vie. Alors que la ville est au bord du chaos et que les crimes se multiplient, Sam se donne pour mission de persuader son voisin de sortir de sa cachette et de sauver la ville de la ruine.",1h 41min,4,Sylvester Stallone (Rôle principal - - Joe Smith),,,Non disponible,,,
